t,ax,ay,az,gx,gy,gz,m1,m2,m3,q0,q1,q2,q3,y,p,r
4859676,994.75,-64.70,-151.25,-2.68,-2.05,-0.06,14,66,266,0.09,-0.76,-0.05,-0.64,-10.89,-80.29,-154.02
4880704,993.04,-68.48,-166.63,-3.14,-1.91,-0.27,14,66,266,0.09,-0.76,-0.05,-0.64,-11.04,-80.21,-154.40
4901044,989.62,-55.79,-164.06,-3.37,-1.89,-0.40,14,66,266,0.09,-0.76,-0.04,-0.64,-10.94,-80.14,-155.07
4921380,992.68,-43.95,-158.08,-2.78,-1.79,-0.28,14,66,266,0.08,-0.76,-0.04,-0.64,-10.48,-80.15,-156.19
4941760,994.63,-39.67,-154.05,-1.99,-1.85,-0.60,14,66,266,0.08,-0.76,-0.04,-0.64,-10.00,-80.23,-157.31
4962100,990.60,-50.90,-160.52,-1.56,-1.55,-0.31,14,66,266,0.07,-0.76,-0.04,-0.64,-9.81,-80.24,-157.98
4983144,992.80,-43.33,-160.64,-1.89,-1.32,-0.34,14,66,266,0.07,-0.76,-0.04,-0.65,-9.61,-80.24,-158.66
5003504,995.73,-47.85,-151.25,-1.81,-1.24,-0.46,14,66,266,0.07,-0.76,-0.03,-0.65,-9.44,-80.27,-159.28
5024576,994.75,-71.90,-155.76,-1.34,-1.41,-0.76,14,66,266,0.07,-0.76,-0.03,-0.65,-10.03,-80.25,-158.84
5042132,992.68,-64.94,-159.91,-1.61,-1.37,-0.46,14,66,266,0.07,-0.76,-0.03,-0.65,-10.39,-80.21,-158.64
5063192,995.24,-49.07,-156.98,-2.05,-1.44,-0.46,14,66,266,0.06,-0.76,-0.03,-0.65,-10.52,-80.20,-158.79
5080688,996.58,-51.76,-152.71,-1.50,-1.31,-0.72,14,66,266,0.06,-0.76,-0.03,-0.65,-10.39,-80.26,-159.23
5100940,993.16,-58.35,-155.27,-0.59,-1.27,-0.92,14,66,266,0.06,-0.76,-0.02,-0.65,-10.48,-80.28,-159.36
5121212,992.31,-51.39,-159.06,-0.41,-1.28,-0.58,14,66,266,0.06,-0.76,-0.02,-0.65,-10.41,-80.29,-159.68
5141480,998.90,-49.80,-155.88,-0.59,-1.32,-0.63,14,66,266,0.06,-0.76,-0.02,-0.65,-10.29,-80.32,-160.06
5161752,995.48,-53.96,-151.00,-0.23,-1.40,-1.08,14,66,266,0.06,-0.76,-0.02,-0.65,-10.36,-80.38,-160.17
5182748,995.85,-64.58,-155.27,-0.31,-1.39,-0.76,14,66,266,0.05,-0.76,-0.02,-0.65,-10.60,-80.39,-160.04
5203036,996.46,-52.73,-156.13,-0.78,-1.41,-0.63,14,66,266,0.05,-0.76,-0.02,-0.65,-10.71,-80.40,-160.06
5224028,998.78,-50.54,-150.51,-1.05,-1.36,-0.41,14,66,266,0.05,-0.76,-0.02,-0.65,-10.57,-80.44,-160.43
5244332,997.31,-57.01,-153.81,-0.33,-1.30,-0.76,14,66,266,0.05,-0.76,-0.02,-0.65,-10.74,-80.46,-160.36
5264668,989.14,-52.37,-159.42,0.01,-1.28,-0.43,14,66,266,0.05,-0.76,-0.02,-0.65,-10.73,-80.44,-160.50
5284988,990.48,-38.21,-154.17,-0.31,-1.36,-0.27,14,66,266,0.05,-0.76,-0.02,-0.65,-10.39,-80.47,-161.08
5305272,998.90,-34.06,-150.27,-0.26,-1.37,-0.10,14,66,266,0.05,-0.76,-0.02,-0.65,-9.73,-80.56,-162.08
